date_time,latitude,longitude,scientific_name,common_name,general_group,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
2022-09-04 10:12:51 UTC,43.46439997,-65.745377,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2018-07-05 09:14:31 UTC,43.46460318,-65.74583721,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2018-08-21 12:17:26 UTC,43.45934296,-65.74318695,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2017-05-08 22:10:31 UTC,43.47393975,-65.75198293,Teucrium canadense,American Germander,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium canadense
2018-08-18 22:12:02 UTC,43.45698929,-65.74342346,Teucrium canadense,American Germander,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium canadense
2018-09-06 21:37:29 UTC,43.47150917,-65.75154736,Teucrium canadense,American Germander,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium canadense
2018-11-08 15:55:22 UTC,43.461884,-65.743669,Teucrium canadense,American Germander,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium canadense
2019-10-07 23:36:04 UTC,43.45690257,-65.74344673,Teucrium canadense,American Germander,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium canadense
2017-07-01 15:02:57 UTC,43.46378117,-65.74554043,Homarus americanus,American Lobster,Marine Arthropods,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,Homarus americanus
2017-07-04 02:04:29 UTC,43.46961511,-65.75381756,Homarus americanus,American Lobster,Marine Arthropods,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,Homarus americanus
2017-07-03 23:42:01 UTC,43.46436494,-65.74701816,Sorbus americana,American Mountain Ash,Plants,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus americana
2018-09-01 12:49:10 UTC,43.46421333,-65.74904667,Sorbus americana,American Mountain Ash,Plants,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus americana
2017-08-01 00:21:56 UTC,43.4643591,-65.74688673,Setophaga ruticilla,American Redstart,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga ruticilla
2017-08-01 00:21:58 UTC,43.46418389,-65.74566901,Setophaga ruticilla,American Redstart,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga ruticilla
2017-07-04 02:04:30 UTC,43.47008229,-65.75480461,Cakile edentula,American Searocket,Plants,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cakile,Cakile edentula
2018-08-19 16:55:51 UTC,43.47278214,-65.75717163,Cakile edentula,American Searocket,Plants,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cakile,Cakile edentula
2018-08-23 18:00:54 UTC,43.46917167,-65.75347833,Cakile edentula,American Searocket,Plants,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cakile,Cakile edentula
2019-01-15 22:10:18 UTC,43.46434826,-65.74718261,Libytheana carinenta,American Snout,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Libytheana,Libytheana carinenta
2017-07-04 02:04:34 UTC,43.47269842,-65.75137138,Placopecten magellanicus,Atlantic Deep-sea Scallop,Mollusks,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Placopecten,Placopecten magellanicus
2017-07-04 01:45:12 UTC,43.46493728,-65.75363517,Nucella lapillus,Atlantic Dogwhelk,Mollusks,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lapillus
2022-05-15 02:25:05 UTC,43.4666667,-65.75,Scomber scombrus,Atlantic Mackerel,Bony Fish,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Scomber,Scomber scombrus
2017-05-11 05:42:48 UTC,43.45858709,-65.74993801,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2017-07-01 14:21:33 UTC,43.46384974,-65.74553875,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2017-07-03 23:41:58 UTC,43.46428902,-65.74625373,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2018-08-26 15:27:26 UTC,43.46529122,-65.74785115,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2018-08-29 12:19:32 UTC,43.46447264,-65.74907659,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2020-07-14 17:32:16 UTC,43.462924,-65.74955697,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2021-07-01 18:49:35 UTC,43.46392383,-65.74558621,Abies balsamea,Balsam Fir,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea
2018-09-01 16:06:41 UTC,43.46432174,-65.74762519,Thelotrema lepadinum,Bark Barnacles,Fungi,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,Thelotrema lepadinum
2017-07-01 14:57:06 UTC,43.46353223,-65.74531294,Amelanchier bartramiana,Bartram Shadbush,Plants,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier bartramiana
2018-08-22 20:56:32 UTC,43.46913322,-65.75257488,Tylopilus felleus,Bitter Bolete,Fungi,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,Tylopilus felleus
2018-08-23 12:34:20 UTC,43.4650078,-65.74783159,Tylopilus felleus,Bitter Bolete,Fungi,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,Tylopilus felleus
2018-09-03 00:07:15 UTC,43.46423333,-65.748895,Tylopilus felleus,Bitter Bolete,Fungi,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,Tylopilus felleus
2017-07-03 23:42:02 UTC,43.4645421,-65.74733198,Aronia melanocarpa,Black Chokeberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Aronia,Aronia melanocarpa
2018-08-25 19:38:16 UTC,43.46972656,-65.75434875,Solanum nigrum,Black Nightshade,Plants,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum nigrum
2019-01-16 16:51:19 UTC,43.46450772,-65.74737423,Tramea lacerata,Black Saddlebags,Insects,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Tramea,Tramea lacerata
2022-09-14 22:09:04 UTC,43.46265306,-65.75070639,Tramea lacerata,Black Saddlebags,Insects,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Tramea,Tramea lacerata
2021-07-01 15:21:23 UTC,43.46669832,-65.7500001,Picea mariana,Black Spruce,Plants,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea mariana
2018-07-02 19:38:42 UTC,43.46448949,-65.74689937,Setophaga striata,Blackpoll Warbler,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga striata
2022-08-11 17:51:52 UTC,43.46455586,-65.74600346,Setophaga caerulescens,Black-throated Blue Warbler,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga caerulescens
2018-07-02 19:38:42 UTC,43.46447547,-65.74689937,Setophaga virens,Black-throated Green Warbler,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga virens
2017-07-04 01:45:11 UTC,43.4649003,-65.7536298,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2017-07-04 17:16:51 UTC,43.46264588,-65.75238746,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2018-09-03 00:27:14 UTC,43.45685261,-65.74333113,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2018-09-03 00:55:05 UTC,43.46317833,-65.7527,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2018-09-17 19:03:20 UTC,43.47120333,-65.75626333,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2018-09-27 00:17:37 UTC,43.46443667,-65.74507167,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2019-08-08 19:53:15 UTC,43.47356333,-65.75852167,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2019-08-25 15:04:00 UTC,43.47354809,-65.75843683,Fucus vesiculosus,Bladder Wrack,Chromista,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,Fucus vesiculosus
2022-10-12 18:52:25 UTC,43.45957421,-65.74643351,Passerina caerulea,Blue Grosbeak,Birds,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina caerulea
2022-08-11 17:51:50 UTC,43.46451667,-65.74580278,Cyanocitta cristata,Blue Jay,Birds,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata
2022-08-11 17:51:50 UTC,43.46372212,-65.74729245,Vireo solitarius,Blue-headed Vireo,Birds,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo solitarius
2023-06-23 10:44:27 UTC,43.472375,-65.75161667,Moehringia lateriflora,Bluntleaf Sandwort,Plants,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Moehringia,Moehringia lateriflora
2018-09-01 16:04:25 UTC,43.46265613,-65.74524149,Platanthera obtusata,Blunt-leaved Rein Orchid,Plants,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera obtusata
2021-06-16 15:09:48 UTC,43.461845,-65.74788667,Vaccinium oxycoccos,Bog Cranberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium oxycoccos
2018-08-27 14:55:10 UTC,43.457901,-65.74332428,Nicrophorus hebes,Boreal Burying Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Nicrophorus,Nicrophorus hebes
2021-08-04 15:44:08 UTC,43.4634154,-65.74916158,Nicrophorus hebes,Boreal Burying Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Nicrophorus,Nicrophorus hebes
2018-01-21 23:50:26 UTC,43.46446167,-65.74584167,Poecile hudsonicus,Boreal Chickadee,Birds,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile hudsonicus
2019-07-06 23:29:10 UTC,43.4652249,-65.74784163,Poecile hudsonicus,Boreal Chickadee,Birds,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile hudsonicus
2018-09-02 23:58:25 UTC,43.46367167,-65.74868,Paxillus involutus,Brown Roll-Rim,Fungi,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus involutus
2018-08-26 13:27:36 UTC,43.46793667,-65.748375,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2018-08-26 17:00:11 UTC,43.46761333,-65.74769667,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2018-08-26 20:27:21 UTC,43.466667,-65.75,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2018-08-26 23:12:03 UTC,43.4580725,-65.74317122,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2018-09-03 11:33:56 UTC,43.4675384,-65.74762828,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2019-01-15 22:10:31 UTC,43.45890135,-65.74352419,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2019-08-26 12:19:46 UTC,43.45696555,-65.74339852,Cirsium vulgare,Bull Thistle,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare
2017-07-04 01:14:44 UTC,43.46408266,-65.74783623,Cornus canadensis,Bunchberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus canadensis
2017-07-04 17:16:13 UTC,43.46284015,-65.74925227,Cornus canadensis,Bunchberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus canadensis
2017-07-04 17:19:24 UTC,43.46480121,-65.74636711,Cornus canadensis,Bunchberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus canadensis
2018-09-03 00:57:30 UTC,43.46363333,-65.74529167,Cornus canadensis,Bunchberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus canadensis
2018-08-18 22:17:45 UTC,43.45687866,-65.74344635,Mentha canadensis,Canada mint,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha canadensis
2018-09-04 13:11:03 UTC,43.47023972,-65.75091558,Mentha canadensis,Canada mint,Plants,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha canadensis
2018-01-21 23:47:58 UTC,43.46456333,-65.74588,Bombycilla cedrorum,Cedar Waxwing,Birds,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum
2019-08-28 23:57:13 UTC,43.45768897,-65.74631056,Goodyera tesselata,Checkered Rattlesnake Plantain,Plants,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Goodyera,Goodyera tesselata
2022-10-12 18:52:25 UTC,43.45957421,-65.74643351,Spizella passerina,Chipping Sparrow,Birds,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella passerina
2017-07-04 01:14:50 UTC,43.46377507,-65.75050235,Osmundastrum cinnamomeum,Cinnamon Fern,Plants,Plantae,Tracheophyta,Polypodiopsida,Osmundales,Osmundaceae,Osmundastrum,Osmundastrum cinnamomeum
2019-08-08 19:48:28 UTC,43.46291385,-65.75253735,Osmundastrum cinnamomeum,Cinnamon Fern,Plants,Plantae,Tracheophyta,Polypodiopsida,Osmundales,Osmundaceae,Osmundastrum,Osmundastrum cinnamomeum
2019-01-15 22:10:38 UTC,43.46461108,-65.74592051,Colias philodice,Clouded Sulphur,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,Colias philodice
2018-08-26 19:52:16 UTC,43.466667,-65.75,Marasmius rotula,Collared Parachute,Fungi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius rotula
2017-07-04 02:04:31 UTC,43.47034702,-65.75583458,Crepidula fornicata,Common Atlantic Slippersnail,Mollusks,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Crepidula fornicata
2017-07-04 01:45:13 UTC,43.46496065,-65.75363785,Corallina officinalis,Common Coralline,Plants,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina officinalis
2018-09-03 00:51:19 UTC,43.45574167,-65.74463667,Corallina officinalis,Common Coralline,Plants,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina officinalis
2018-09-03 00:53:50 UTC,43.463225,-65.75287,Corallina officinalis,Common Coralline,Plants,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina officinalis
2021-06-29 23:08:48 UTC,43.48115604,-65.75726889,Heracleum maximum,Common Cowparsnip,Plants,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum maximum
2019-01-15 22:10:38 UTC,43.46457728,-65.74592485,Eristalis tenax,Common Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax
2019-01-15 22:10:26 UTC,43.46483919,-65.7461898,Anax junius,Common Green Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,Anax junius
2019-01-16 16:51:18 UTC,43.46449791,-65.74583352,Anax junius,Common Green Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,Anax junius
2019-09-13 16:20:41 UTC,43.46475075,-65.74709169,Anax junius,Common Green Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,Anax junius
2017-07-01 15:06:22 UTC,43.46460405,-65.74532394,Littorina littorea,Common Periwinkle,Mollusks,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina littorea
2017-07-04 17:14:56 UTC,43.46434468,-65.74470462,Littorina littorea,Common Periwinkle,Mollusks,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina littorea
2021-07-01 15:07:34 UTC,43.46669832,-65.7500001,Littorina littorea,Common Periwinkle,Mollusks,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina littorea
2018-08-27 13:55:44 UTC,43.466667,-65.75,Cladonia coniocraea,Common Powderhorn,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,Cladonia coniocraea
2018-09-01 16:04:55 UTC,43.45634147,-65.74373389,Ambrosia artemisiifolia,Common Ragweed,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
2018-09-01 16:06:32 UTC,43.46390657,-65.7482054,Graphis scripta,Common Script Lichen,Fungi,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,Graphis scripta
2017-07-04 02:04:31 UTC,43.47122686,-65.75588822,Argentina anserina,Common Silverweed,Plants,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Argentina,Argentina anserina
2018-08-26 14:15:16 UTC,43.46786184,-65.74801509,Xanthoria parietina,Common Sunburst Lichen,Fungi,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,Xanthoria parietina
2018-08-26 20:25:43 UTC,43.466667,-65.75,Xanthoria parietina,Common Sunburst Lichen,Fungi,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,Xanthoria parietina
2017-07-04 02:04:28 UTC,43.46949053,-65.7536459,Buccinum undatum,Common Whelk,Mollusks,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Buccinum undatum
2019-01-15 22:10:47 UTC,43.46514271,-65.74629527,Cercyonis pegala,Common Wood-Nymph,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Cercyonis,Cercyonis pegala
2018-09-05 14:05:21 UTC,43.45679769,-65.74344003,Achillea millefolium,Common Yarrow,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
2018-09-06 20:40:27 UTC,43.45904718,-65.74409208,Achillea millefolium,Common Yarrow,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
2021-07-01 15:32:08 UTC,43.46669832,-65.7500001,Achillea millefolium,Common Yarrow,Plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
2016-09-22 02:09:43 UTC,43.46476673,-65.74609475,Geothlypis trichas,Common Yellowthroat,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas
2018-07-02 19:38:46 UTC,43.4640556,-65.74808226,Geothlypis trichas,Common Yellowthroat,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas
2017-07-04 17:16:26 UTC,43.46266388,-65.75126837,Gloeophyllum sepiarium,Conifer Mazegill,Fungi,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Gloeophyllum,Gloeophyllum sepiarium
2018-09-03 11:30:53 UTC,43.45690864,-65.74348862,Heterobasidion annosum,Conifer-base Polypore,Fungi,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Heterobasidion annosum
2019-07-22 22:12:16 UTC,43.46458054,-65.74601746,Hylobius pinicola,Couper Collar Weevil,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Hylobius,Hylobius pinicola
2018-08-26 23:33:31 UTC,43.46454667,-65.74649167,Lactarius camphoratus,Curry Milkcap,Fungi,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius camphoratus
2018-09-03 00:52:39 UTC,43.45698,-65.74421667,Alaria esculenta,Dabberlocks,Chromista,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,Alaria esculenta
2018-09-10 16:07:11 UTC,43.456775,-65.74291167,Alaria esculenta,Dabberlocks,Chromista,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,Alaria esculenta
2018-08-20 10:58:49 UTC,43.46057023,-65.74288729,Nannopterum auritum,Double-crested Cormorant,Birds,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Nannopterum,Nannopterum auritum
2018-11-08 15:55:19 UTC,43.46412728,-65.74280978,Nannopterum auritum,Double-crested Cormorant,Birds,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Nannopterum,Nannopterum auritum
2018-09-01 16:05:38 UTC,43.4649605,-65.74737336,Cladonia squamosa,Dragon Horn,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,Cladonia squamosa
2018-09-03 00:52:28 UTC,43.455745,-65.74453,Palmaria palmata,Dulse,Plants,Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria palmata
2018-09-03 00:54:07 UTC,43.46318,-65.752755,Palmaria palmata,Dulse,Plants,Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria palmata
2018-08-29 23:07:40 UTC,43.46676148,-65.7496979,Phaeolus schweinitzii,Dyer's Polypore,Fungi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phaeolaceae,Phaeolus,Phaeolus schweinitzii
2018-08-30 15:11:05 UTC,43.45857167,-65.74316333,Phaeolus schweinitzii,Dyer's Polypore,Fungi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phaeolaceae,Phaeolus,Phaeolus schweinitzii
2018-09-07 01:48:45 UTC,43.45969763,-65.74343478,Phaeolus schweinitzii,Dyer's Polypore,Fungi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phaeolaceae,Phaeolus,Phaeolus schweinitzii
2017-08-01 00:21:57 UTC,43.46448369,-65.74589431,Plethodon cinereus,Eastern Red-backed Salamander,Amphibians,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus
2019-01-15 22:10:29 UTC,43.46406828,-65.74564263,Plethodon cinereus,Eastern Red-backed Salamander,Amphibians,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus
2019-01-16 16:51:20 UTC,43.46385566,-65.74567496,Plethodon cinereus,Eastern Red-backed Salamander,Amphibians,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus
2019-08-24 23:08:22 UTC,43.45726517,-65.74355451,Plethodon cinereus,Eastern Red-backed Salamander,Amphibians,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus
